Ligand_SMILES,Target_UniProt,Target_Name,Species,Activity_nM
C[C@H](C[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C)C(C)(C)O,P,Ecdysone receptor,Drosophila melanogaster,112.2
CC(CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,91.2
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,41686.94
CC(C)CCC(O)C(C)(O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC21C,P,Ecdysone receptor,Drosophila melanogaster,41686.94
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,794.33
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,9549.93
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,14454.4
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,58.88
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,323.59
CC(C)CC[C@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,P,Ecdysone receptor,Drosophila melanogaster,38904.51
O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,P,"Mannosyl-oligosaccharide alpha-1,2-mannosidase isoform B",Drosophila melanogaster,5.0
CS[C@@H]1[C@@H](N)[C@@H](O)[C@@H](O)[C@H]1O,P,"Mannosyl-oligosaccharide alpha-1,2-mannosidase isoform B",Drosophila melanogaster,150.0
CN1C(=O)[C@@]23C[C@]4([C@]56C[C@@]78SS[C@@](CO)(C(=O)N7[C@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3,P,Histone-lysine N-methyltransferase Su(var)3-9,Drosophila melanogaster,600.0
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,P,Acetylcholinesterase,Drosophila melanogaster,1830.0
CCOP(=O)(OCC)SCCCCCCCCCN1C(=O)c2ccccc2C1=O,P,Acetylcholinesterase,Drosophila melanogaster,37500.0
CCOP(=O)(OCC)SCCCCCCCCN1C(=O)c2ccccc2C1=O,P,Acetylcholinesterase,Drosophila melanogaster,4500.0
CCOP(=O)(OCC)SCCCCCCCN1C(=O)c2ccccc2C1=O,P,Acetylcholinesterase,Drosophila melanogaster,1840.0
CCOP(=O)(OCC)SCCCCCCN1C(=O)c2ccccc2C1=O,P,Acetylcholinesterase,Drosophila melanogaster,3810.0
CCOP(=O)(OCC)SCCCCCN1C(=O)c2ccccc2C1=O,P,Acetylcholinesterase,Drosophila melanogaster,12340.0
CCOP(=O)(OCC)SCCCCN1C(=O)c2ccccc2C1=O,P,Acetylcholinesterase,Drosophila melanogaster,9920.0
CCOP(=O)(OCC)SCCCN1C(=O)c2ccccc2C1=O,P,Acetylcholinesterase,Drosophila melanogaster,8290.0
CCOP(=O)(OCC)SCCCCCCCCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,1760.0
CCOP(=O)(OCC)SCCCCCCCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,1430.0
CCOP(=O)(OCC)SCCCCCCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,4840.0
CCOP(=O)(OCC)SCCCCCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,10200.0
CCOP(=O)(OCC)SCCCCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,870.0
CCOP(=O)(OCC)SCCCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,12340.0
CCOP(=O)(OCC)SCCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,8070.0
CCOP(=O)(OCC)SCCCSP(=O)(OCC)OCC,P,Acetylcholinesterase,Drosophila melanogaster,1640.0
CC(=O)Nc1nnc(S(N)(=O)=O)s1,Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,78.0
O=C([O-])[C@@H]1CCCN1C(=S)[S-].[Na+].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,13.6
N#Cc1ccc(C2CCN(C(=S)[S-])CC2)cc1.[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,3.7
S=C([S-])N1CCN(C(=S)[S-])CC1.[Na+].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,21.6
S=C([S-])N1CCOCC1.[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,0.8
CN(Cc1ccccc1)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,12.4
CN(C(=S)[S-])c1ccccc1.[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,5.9
OCCN(CCO)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,134.0
CCCCN(CC)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,21.9
CCCCCCN(CCCCCC)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,3.8
CC(C)CN(CC(C)C)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,0.9
CCCCN(CCCC)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,0.5
CCCN(CCC)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,3.9
S=C([S-])N1CCCC1.[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,4.7
CCN(CC)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,654.0
CN(C)C(=S)[S-].[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,769.0
NCCCn1ccnc1.S=C(S)NCCCn1ccnc1,Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,24.1
O=C([O-])CNC(=S)[S-].[K+].[K+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,76.5
CCN(CC)CC.S=C(S)Nc1cccs1,Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,3.9
S=C([S-])NCCN1CCCCC1.[K+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,26.7
CCN(CC)CC.S=C(S)NCc1ccncc1,Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,58.8
S=C([S-])NCc1ccccc1.[Na+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,213.0
S=C([S-])NCCN(CCNC(=S)[S-])CNC(=S)[S-].[K+].[K+].[K+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,1.5
S=C([S-])NCCN1CCOCC1.[K+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,10.4
CCC(C)NC(=S)[S-].[K+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,0.9
CN1CCN(NC(=S)[S-])CC1.[K+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,13.8
S=C([S-])NN1CCOCC1.[K+],Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,20.7
CCN(CC)CC.S=C(S)Nc1ccccc1,Q,"Carbonic anhydrase 2, isoform A",Drosophila melanogaster,33.9
O=C1CCCN1CC#CCN1CCCC1,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,19400.0
Cc1ccc(C[N+](C)(C)C)o1.[I-],P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,14900.0
C#CCOC(=O)C1=CCCN(C)C1,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,4490.0
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,2980.0
CC#CCOC(=O)C1=CCCN(C)C1,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,1500.0
Cc1noc(C2CN3CCC2CC3)n1,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,1320.0
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC.Cl.Cl.Cl.Cl,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,2850.0
CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,1030.0
CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,1220.0
C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,510.0
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)N1Cc3ccccc3NC1=O)C2,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,640.0
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,430.0
C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1.[I-],P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,15.0
CCCN(CCC)CC1CCCCN1CCNC(=O)N1c2ccccc2C(=O)Nc2cccnc21,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,4.8
C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O=[N+]([O-])[O-],P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,2.4
Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.O.O.O,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,1.1
O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,P,Muscarinic acetylcholine receptor DM1,Drosophila melanogaster,0.5
CN1CCC[C@H]1c1cccnc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,2700.0
N=C1NCCN1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,1000.0
N=C1SCCN1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,130.0
Clc1ccc(C2CC3CCC2N3)cn1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,290.0
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,7.2
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,3.0
N#C/N=C1\SCCN1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,1.2
O=[N+]([O-])/C=C1\NCCN1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,0.12
O=[N+]([O-])C=C1NCCCS1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,4700.0
CN/C(=N/CC1CCOC1)N[N+](=O)[O-],P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,5000.0
CCN(Cc1cnc(Cl)s1)/C(=C/[N+](=O)[O-])NC,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,160.0
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,11.0
C/C(=N\C#N)N(C)Cc1cnc(Cl)s1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,154.0
CN/C(=N\[N+](=O)[O-])NCc1cnc(Cl)s1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,2.2
C/N=C(\NCc1ccc(Cl)nc1)N[N+](=O)[O-],P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,7.4
N#C/N=C1\SCCN1Cc1cnc(Cl)s1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,94.0
O=[N+]([O-])/N=C1\NCOCN1Cc1cnc(Cl)s1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,20.0
O=[N+]([O-])/N=C1\NCOCN1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,22.0
O=[N+]([O-])/N=C1\NCCN1Cc1cnc(Cl)s1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,17.0
N=c1sccn1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,185.0
O=[N+]([O-])/C=C1/NCCCN1Cc1ccc(Cl)nc1,P,Acetylcholine receptor subunit beta-like 2,Drosophila melanogaster,0.37
CC(C)(C)N(NC(=O)c1ccc(Br)cc1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,6918.31
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,524.81
CCc1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,218.78
Cc1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,218.78
CC(C)(C)N(NC(=O)c1cccc(Cl)c1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,1202.26
CC(C)(C)N(NC(=O)c1ccccc1Cl)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,2570.4
COc1ccccc1C(=O)N(NC(=O)c1ccccc1)C(C)(C)C,P,Ecdysone receptor,Drosophila melanogaster,3801.89
Cc1ccccc1C(=O)N(NC(=O)c1ccccc1)C(C)(C)C,P,Ecdysone receptor,Drosophila melanogaster,3801.89
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1[N+](=O)[O-],P,Ecdysone receptor,Drosophila melanogaster,1096.48
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1C(F)(F)F,P,Ecdysone receptor,Drosophila melanogaster,3630.78
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1I,P,Ecdysone receptor,Drosophila melanogaster,1202.26
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1Br,P,Ecdysone receptor,Drosophila melanogaster,794.33
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1F,P,Ecdysone receptor,Drosophila melanogaster,6165.95
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1,P,Ecdysone receptor,Drosophila melanogaster,1819.7
CCc1ccc(C(=O)NN(C(=O)c2cccc3ccccc23)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,10471.29
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,P,Ecdysone receptor,Drosophila melanogaster,7762.47
CCc1ccc(C(=O)NN(C(=O)c2ccccc2)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,5495.41
CCOc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,P,Ecdysone receptor,Drosophila melanogaster,12022.64
COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,P,Ecdysone receptor,Drosophila melanogaster,16595.87
Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc(Cl)cc2)C(C)(C)C)c1,P,Ecdysone receptor,Drosophila melanogaster,16595.87
Cc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,11220.18
COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1,P,Ecdysone receptor,Drosophila melanogaster,45708.82
COc1cccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)c1C,P,Ecdysone receptor,Drosophila melanogaster,16595.87
Cc1cccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)c1C,P,Ecdysone receptor,Drosophila melanogaster,11481.54
CC(C)(C)N(NC(=O)c1cccc(Cl)c1Cl)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,7762.47
COc1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,11220.18
CC(C)c1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,12022.64
CCCc1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,P,Ecdysone receptor,Drosophila melanogaster,9772.37
CC(C)(C)N(NC(=O)c1ccc(I)cc1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,7079.46
CC(C)(C)N(NC(=O)c1ccc(F)cc1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,37153.52
CC(C)(C)N(NC(=O)c1cccc(C#N)c1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,36307.81
CC(C)(C)N(NC(=O)c1cccc(Br)c1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,13182.57
CC(C)(C)N(NC(=O)c1cccc(F)c1)C(=O)c1ccccc1Cl,P,Ecdysone receptor,Drosophila melanogaster,25703.96
Cc1ccccc1C(=O)NN(C(=O)c1ccccc1Cl)C(C)(C)C,P,Ecdysone receptor,Drosophila melanogaster,25703.96
